datetime,open,high,low,close,volume
2020-10-06,208.82001,210.17999,204.82001,205.91000,28554300
2020-10-07,207.059998,210.11000,206.72000,209.83000,25681100
2020-10-08,210.50999,211.19000,208.32001,210.58000,19925800
2020-10-09,211.23000,215.86000,211.23000,215.81000,26458000
2020-10-12,218.78999,223.86000,216.81000,221.39999,40461400
2020-10-13,222.72000,225.21001,220.42999,222.86000,28950800
2020-10-14,223,224.22000,219.13000,220.86000,23421700
2020-10-15,217.10001,220.36000,216.0099945,219.66000,22733100
2020-10-16,220.14999,222.28999,219.32001,219.66000,26057900
2020-10-19,220.42000,222.30000,213.72000,214.22000,27625800
2020-10-20,215.80000,217.37000,213.089996,214.64999,22753500
2020-10-21,213.12000,216.92000,213.12000,214.80000,22724900
2020-10-22,213.92999,216.059998,211.70000,214.89000,22351500
2020-10-23,215.029999,216.28000,213.16000,216.23000,18879600
2020-10-26,213.85001,216.34000,208.10001,210.080002,37111600
2020-10-27,211.59000,214.67000,210.33000,213.25,36700300
2020-10-28,207.67000,208.84000,202.10001,202.67999,51195600
2020-10-29,204.070007,207.36000,203.37000,204.72000,31432600
2020-10-30,203.5,204.28999,199.62000,202.47000,36953700
2020-11-02,204.28999,205.28000,200.12000,202.33000,30842200
2020-11-03,203.89000,208.12000,203.12000,206.42999,27512000
2020-11-04,214.020004,218.32001,212.42000,216.39000,42311800
2020-11-05,222.039993,224.12000,221.14999,223.28999,36080100
2020-11-06,222.25999,224.36000,218.029999,223.72000,25231900
2020-11-09,224.44000,228.12000,217.88000,218.39000,44395000
2020-11-10,214.5,216.5,209.72000,211.0099945,44045100
2020-11-11,212.39000,218.039993,212.20000,216.55000,29440800
2020-11-12,217.21001,219.11000,214.46001,215.44000,21593900
2020-11-13,216.36000,217.42000,214.16000,216.50999,18621100
2020-11-16,214.87000,217.74001,214.52000,217.23000,24953300
2020-11-17,216.10001,217.67999,214.080002,214.46001,24154100
2020-11-18,213.64999,215.17000,210.92999,211.080002,28372800
2020-11-19,211.38000,213.029999,209.92999,212.42000,24792700
2020-11-20,212.20000,213.28999,210,210.39000,22843100
2020-11-23,210.95000,212.28999,208.16000,210.11000,25683500
2020-11-24,209.59000,214.25,208.86000,213.86000,33979700
2020-11-25,215.11000,215.28999,212.46001,213.87000,21012900
2020-11-27,214.85001,216.27000,214.039993,215.23000,14512200
2020-11-30,214.10001,214.75999,210.84000,214.070007,33064800
2020-12-01,214.50999,217.32001,213.35001,216.21001,30904500
2020-12-02,214.88000,215.47000,212.80000,215.37000,23724500
2020-12-03,214.61000,216.38000,213.64999,214.24001,25120900
2020-12-04,214.22000,215.38000,213.17999,214.36000,24666000
2020-12-07,214.37000,215.53999,212.99001,214.28999,24620000
2020-12-08,213.97000,216.95000,212.89000,216.0099945,23284100
2020-12-09,215.16000,215.23000,211.21001,211.80000,32440600
2020-12-10,211.77000,213.080002,210.36000,210.52000,26733300
2020-12-11,210.050003,213.32001,209.11000,213.25999,30979400
2020-12-14,213.10001,216.21001,212.88000,214.20000,28798400
2020-12-15,215.17000,215.42000,212.24001,214.13000,27000600
2020-12-16,214.75,220.11000,214.72000,219.28000,35023300
2020-12-17,219.87000,220.89000,217.92000,219.42000,32515800
2020-12-18,218.59000,219.69000,216.020004,218.59000,63354900
2020-12-21,217.55000,224,217.28000,222.59000,37181900
2020-12-22,222.69000,225.63000,221.85001,223.94000,22612200
2020-12-23,223.11000,223.56000,220.80000,221.020004,18699600
2020-12-24,221.42000,223.61000,221.20000,222.75,10550600
2020-12-28,224.45000,226.029999,223.020004,224.96001,17933500
2020-12-29,226.31000,227.17999,223.58000,224.14999,17403200
2020-12-30,225.23000,225.63000,221.47000,221.67999,20272300
2020-12-31,221.70000,223,219.67999,222.42000,20942100
2021-01-04,222.53000,223,214.81000,217.69000,37130100
2021-01-05,217.25999,218.52000,215.70000,217.89999,23823000
2021-01-06,212.17000,216.49001,211.94000,212.25,35930700
2021-01-07,214.039993,219.34000,213.71001,218.28999,27694500
2021-01-08,218.67999,220.58000,217.029999,219.62000,22956200
2021-01-11,218.47000,218.91000,216.73000,217.49001,23031300
2021-01-12,216.5,217.10001,213.32001,214.92999,23249300
2021-01-13,214.020004,216.75999,213.92999,216.34000,20087100
2021-01-14,215.91000,217.46001,212.74001,213.020004,29480800
2021-01-15,213.52000,214.50999,212.029999,212.64999,31746500
2021-01-19,213.75,216.98000,212.63000,216.44000,30480900
2021-01-20,217.70000,225.78999,217.28999,224.34000,37777300
2021-01-21,224.70000,226.30000,222.42000,224.97000,30709400
2021-01-22,227.080002,230.070007,225.80000,225.95000,30172700
2021-01-25,229.12000,229.78000,224.22000,229.53000,33152100
2021-01-26,231.86000,234.17999,230.080002,232.33000,49169600
2021-01-27,238,240.44000,230.14000,232.89999,69870600
2021-01-28,235.61000,242.64000,235.089996,238.92999,49111200
2021-01-29,235.99001,238.020004,231.35001,231.96001,42503100
2021-02-01,235.059998,242.5,232.42999,239.64999,33314200
2021-02-02,241.30000,242.31000,238.69000,239.50999,25916300
2021-02-03,239.57001,245.089996,239.25999,243,27158100
2021-02-04,242.66000,243.24001,240.37000,242.0099945,25296100
2021-02-05,242.23000,243.28000,240.42000,242.20000,18054800
2021-02-08,243.14999,243.67999,240.81000,242.47000,22211900
2021-02-09,241.87000,244.75999,241.38000,243.77000,23565000
2021-02-10,245,245.92000,240.89000,242.82001,22186700
2021-02-11,244.78000,245.14999,242.14999,244.49001,15751100
2021-02-12,243.92999,245.30000,242.73000,244.99001,16561100
2021-02-16,245.029999,246.13000,242.92000,243.70000,26728500
2021-02-17,241.32001,244.31000,240.94000,244.20000,21653500
2021-02-18,241.80000,243.92999,240.86000,243.78999,16925600
2021-02-19,243.75,243.86000,240.17999,240.97000,25262600
2021-02-22,237.42000,237.92999,232.39999,234.50999,36446900
2021-02-23,230.33000,234.83000,228.73000,233.27000,30228700
2021-02-24,230.0099945,235.20000,229,234.55000,26339700
2021-02-25,232.080002,234.59000,227.88000,228.99001,39542200
2021-02-26,231.53000,235.37000,229.53999,232.38000,37819200
2021-03-01,235.89999,237.47000,233.14999,236.94000,25324000
