datetime,open,high,low,close,volume
2020-10-06,141.26334,142.92667,135.35001,137.99333,147438900
2020-10-07,139.95667,143.30000,137.95000,141.76666,129383100
2020-10-08,146.14667,146.33333,141.76666,141.97333,121263300
2020-10-09,143.37666,144.86333,142.15334,144.66667,86777100
2020-10-12,147.33333,149.58000,146.19333,147.43333,116373300
2020-10-13,147.78334,149.63000,145.53334,148.88333,103391100
2020-10-14,149.92667,155.30000,149.11667,153.76666,143639100
2020-10-15,150.10333,152.19000,147.5,149.62666,107017200
2020-10-16,151.48000,151.98334,146.28334,146.55667,98327700
2020-10-19,148.74667,149,142.95667,143.61000,108863400
2020-10-20,143.91667,143.91667,139.68333,140.64667,94968900
2020-10-21,140.89999,144.31667,140.41667,140.88000,97111500
2020-10-22,147.30667,148.41000,141.50333,141.92999,119979600
2020-10-23,140.61333,140.96333,135.79333,140.21001,101151000
2020-10-26,137.21001,141.92000,136.66667,140.093338,84717600
2020-10-27,141.25333,143.5,140.033340,141.56000,68059500
2020-10-28,138.82666,139.53334,135.33333,135.34000,76354200
2020-10-29,136.65334,139.35333,135.48666,136.94333,67965900
2020-10-30,135.63333,135.86333,126.37000,129.34666,127533900
2020-11-02,131.33333,135.66000,130.76666,133.50333,87063300
2020-11-03,136.57666,142.59000,135.56334,141.30000,103055100
2020-11-04,143.53999,145.13333,139.033340,140.32666,96429300
2020-11-05,142.76666,146.66667,141.33333,146.029999,85243500
2020-11-06,145.36667,145.52333,141.42667,143.31667,65118000
2020-11-09,146.5,150.83333,140.33333,140.42000,104499000
2020-11-10,140.029999,140.029999,132.0099945,136.78667,90852600
2020-11-11,138.81667,139.56667,136.86000,139.043335,52073100
2020-11-12,138.35001,141,136.50667,137.25333,59565300
2020-11-13,136.95000,137.50999,133.88667,136.16667,59313300
2020-11-16,136.31000,137.48334,134.69667,136.029999,80515800
2020-11-17,153.39000,154,144.33667,147.20334,183564900
2020-11-18,149.45000,165.33333,147.83333,162.21333,234132000
2020-11-19,164,169.53667,162.52333,166.42334,187425900
2020-11-20,165.99667,167.5,163.020004,163.20334,98735700
2020-11-23,167.83333,175.33333,167.26334,173.95000,150780900
2020-11-24,180.13333,186.66333,175.39999,185.12666,160945500
2020-11-25,183.35333,191.33333,181.78999,191.33333,146790600
2020-11-27,193.72000,199.59334,192.81667,195.25333,112683300
2020-11-30,200.73666,202.60001,184.83667,189.20000,189009300
2020-12-01,199.19667,199.28334,190.68333,194.92000,120310500
2020-12-02,185.48000,190.51334,180.40334,189.60667,143327100
2020-12-03,196.67334,199.65666,194.14333,197.79333,127656000
2020-12-04,197.0033264,199.67999,195.16667,199.67999,88203900
2020-12-07,201.64000,216.26334,201.016663,213.92000,168929100
2020-12-08,208.50333,217.093338,206.16667,216.62666,192795000
2020-12-09,217.89667,218.10667,196,201.49333,213873600
2020-12-10,191.45667,209.25,188.78000,209.023331,201249600
2020-12-11,205.0033264,208,198.93333,203.33000,139425000
2020-12-14,206.33333,214.25,203.39999,213.27667,156121800
2020-12-15,214.42667,215.63333,207.93333,211.083328,135214500
2020-12-16,209.41000,210.83333,201.66667,207.59000,126287400
2020-12-17,209.39667,219.60667,206.5,218.63333,168810300
2020-12-18,222.96666,231.66667,209.51334,231.66667,666378600
2020-12-21,222.080002,222.83333,215.35667,216.62000,174135900
2020-12-22,216,216.62666,204.74333,213.44667,155148000
2020-12-23,210.73334,217.16667,207.52333,215.32666,99519000
2020-12-24,214.33000,222.029999,213.66667,220.59000,68596800
2020-12-28,224.83667,227.13333,220.26666,221.23000,96835800
2020-12-29,220.33333,223.30000,218.33333,221.99667,68732400
2020-12-30,224,232.20000,222.78667,231.59334,128538000
2020-12-31,233.33000,239.57333,230.37334,235.22333,148949700
2021-01-04,239.82001,248.16333,239.063339,243.25667,145914600
2021-01-05,241.22000,246.94667,239.73334,245.036667,96735600
2021-01-06,252.83000,258,249.70000,251.99333,134100000
2021-01-07,259.20999,272.32999,258.39999,272.013336,154496700
2021-01-08,285.33334,294.82999,279.46332,293.34000,225166500
2021-01-11,283.13333,284.81000,267.87332,270.39667,177904800
2021-01-12,277,289.33334,275.78000,283.14667,138812100
2021-01-13,284.25333,286.82333,277.33334,284.80334,99937500
2021-01-14,281.13000,287.66666,279.58334,281.66666,93798900
2021-01-15,284,286.63333,273.033325,275.38666,116332800
2021-01-19,279.26666,283.33334,277.66666,281.51666,76101000
2021-01-20,286.24667,286.5,279.093323,283.48334,76997700
2021-01-21,285,285.23999,280.47333,281.66333,61563300
2021-01-22,278.10333,282.66666,276.20667,282.21332,60199500
2021-01-25,285,300.13333,279.60666,293.60001,123520200
2021-01-26,297.12668,298.63333,290.53333,294.36334,69394800
2021-01-27,290.11667,297.16666,286.22000,288.053345,82002000
2021-01-28,273.33334,282.66666,267,278.47665,79134000
2021-01-29,276.66666,280.80334,260.033325,264.51001,104972400
2021-02-01,271.42999,280.66666,265.18668,279.93668,76174200
2021-02-02,281.56000,293.5,280.73334,290.92999,73038600
2021-02-03,292.34000,292.69333,284.35333,284.89667,55030500
2021-02-04,285,285.5,277.80667,283.32999,47438100
2021-02-05,281.66666,288.25665,279.65668,284.076660,55699800
2021-02-08,289.89001,292.59000,284.91666,287.80667,60485100
2021-02-09,285.040009,286.60001,280.58334,283.15332,45473100
2021-02-10,281.21332,281.60666,266.67334,268.27335,108648300
2021-02-11,270.81332,276.62668,267.24335,270.55334,64868400
2021-02-12,267.086670,272.44333,261.77667,272.040009,71304900
2021-02-16,272.66666,273.66666,264.14667,265.40668,59406900
2021-02-17,259.69666,266.61334,254.0033264,266.049988,77989500
2021-02-18,260.29999,264.89667,258.75665,262.45999,53871300
2021-02-19,265,265.59668,259.12332,260.43332,56874900
2021-02-22,254.21333,256.16666,236.73334,238.16667,111809100
2021-02-23,220.71001,237.87000,206.33333,232.94667,199820700
2021-02-24,237.28334,248.33333,231.39000,247.34000,110301000
2021-02-25,242.050003,245.73666,223.52667,227.40666,117071700
2021-02-26,233.33333,235.56667,219.83667,225.16667,123267600
2021-03-01,230.036667,239.66667,228.35001,239.47667,81408600
2021-03-02,239.42667,240.37000,228.33333,228.81334,71196600
2021-03-03,229.33000,233.56667,217.23666,217.73334,90624000
2021-03-04,218.60001,222.81667,200,207.14667,197758500
2021-03-05,208.68666,209.28000,179.83000,199.31667,268189500
2021-03-08,200.18333,206.71001,186.26334,187.66667,155361000
2021-03-09,202.72667,226.029999,198.40334,224.52667,202569900
2021-03-10,233.43333,239.28334,218.35333,222.68666,181817100
2021-03-11,233.13333,234.16667,225.72667,233.20000,108761700
2021-03-12,223.33333,231.62666,222.046661,231.24333,100751400
2021-03-15,231.36333,237.72667,228.013336,235.98000,88006800
2021-03-16,234.45000,235.97333,223.66667,225.62666,96587100
2021-03-17,218.95667,234.57666,217.0033264,233.93666,121117500
2021-03-18,228.096664,229.74333,217.33333,217.72000,99674400
2021-03-19,215.53334,219.076660,208.20667,218.28999,128682000
2021-03-22,228.19667,233.20667,222.91667,223.33333,118536600
2021-03-23,225.25667,225.93333,219.17000,220.72000,91475700
2021-03-24,222.63667,222.67334,210.036667,210.089996,101385600
2021-03-25,204.33333,215.16667,203.16667,213.46333,117674700
2021-03-26,213.95667,214.60667,199.96333,206.23666,101558400
2021-03-29,205.21333,205.49333,198.67334,203.76334,85911000
2021-03-30,200.58333,212.55333,197.0033264,211.87334,118297200
2021-03-31,215.53999,224,213.70334,222.64333,100011900
2021-04-01,229.45667,230.80667,219.80667,220.58333,105895200
2021-04-05,235.90334,236.053329,228.23334,230.35001,125528400
2021-04-06,230.10001,232.18333,227.12334,230.53999,84815400
2021-04-07,229,230.46001,222.61333,223.65666,78928200
2021-04-08,225.79333,229.85001,223.88333,227.93333,71772900
2021-04-09,225.92334,226.99001,223.14333,225.67334,64311300
2021-04-12,228.56667,234.93333,227.36333,233.99333,87407100
2021-04-13,237.56667,254.33333,236.88667,254.10667,133958400
2021-04-14,256.89999,260.26334,242.67667,244.076660,147052200
2021-04-15,247.70000,247.89667,240.43666,246.28334,83546700
2021-04-16,242.88333,249.80333,241.53334,246.59334,83938500
2021-04-19,239.86667,241.80000,230.60001,238.21001,119058600
2021-04-20,239.14000,245.75,236.89667,239.66333,106827000
2021-04-21,234.92334,248.28000,232.66667,248.039993,93646500
2021-04-22,247.16667,251.25667,239.34666,239.89667,106770900
2021-04-23,239.93333,245.78667,238.48666,243.13333,85110000
2021-04-26,247,249.76666,244.20334,246.066666,93115500
2021-04-27,239.32001,241.33333,234.45000,234.91333,88311000
2021-04-28,232.13667,236.16667,231.20000,231.46666,66813000
2021-04-29,233.17000,234.083328,222.83333,225.66667,86536200
2021-04-30,222.53000,238.49001,222.046661,236.48000,122276100
2021-05-03,234.60001,235.33333,226.83333,228.30000,81129300
